food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
金河天然酸牛奶,银川市金河乳业有限公司,5,0,5,银川市德胜工业园区伊园路5号,2015-10-29,250ml/瓶,不合格 酸度║59.0°T║≥70.0°T,永宁县新益家南桥商场,,
金河天然酸牛奶,银川市金河乳业有限公司,5,0,5,银川市德胜工业园区伊园路5号,2015-10-26,250ml/瓶,不合格 酸度║59.3°T║≥70.0°T,永宁县新益家南桥商场,,
金河天然酸牛奶,银川市金河乳业有限公司,5,0,5,银川市德胜工业园区伊园路5号,2015-10-23,250ml/瓶,不合格 酸度║59.6°T║≥70.0°T,银川市新华百货连锁有限公司大武口华欣店,,
金河天然酸牛奶,银川市金河乳业有限公司,5,0,5,银川市德胜工业园区伊园路5号,2015-10-02,250ml/瓶,不合格 酸度║55.2°T║≥70.0°T,银川市新华百货连锁超市有限公司宁阳店,,
金河天然酸牛奶,银川市金河乳业有限公司,5,0,5,银川市德胜工业园区伊园路5号,2015-09-05,250ml/瓶,不合格 酸度║61.4°T║≥70.0°T,中宁县爱家购物广场平安店,,
原味风味酸牛奶,光明乳业（泾阳）有限公司,1,0,1,陕西省泾阳县泾干大街西段2号,2016-2-25,140克/杯,"不合格 大肠菌群║43  32  13  3  ＜1 CFU/g║n=5,c=2,m=1,M=5 CFU/g",陕西永辉超市有限公司西安南关正街分公司,,包括铅、汞、砷等重金属，黄曲霉毒素M1等生物毒素，苯甲酸、山梨酸等食品添加剂，霉菌、菌落总数等微生物指标，酸度、蛋白质、非脂乳固体等品质指标等42个指标
巴氏杀菌乳,回民区金沃鲜奶店,1,0,1,内蒙古呼和浩特市回民区营坊道金凤商住楼1层12号,2015-11-11,/,"不合格 大肠菌群║1.2×102CFU/mL,1.0×102CFU/mL,1.4×102CFU/mL,1.2×102CFU/mL,1.3×102CFU/mL║n=5,c=2,m=1,M=5",回民区金沃鲜奶店,,
巴氏杀菌乳,回民区塔霖苏鲜奶店,1,0,1,内蒙古呼和浩特市回民区三顺店街景观小区商业房,2015-11-11,/,"不合格 金黄色葡萄球菌║检出,未检出,未检出,未检出,未检出║n=5,c=0,m=0/25mL",回民区塔霖苏鲜奶店,,
巴氏杀菌乳（500mL）,赛罕区桥华世纪村幸福路与芳鲜奶店,1,0,1,内蒙古自治区呼和浩特市回民区营坊道祥和家园7号楼1层030号,2015-11-13,/,"不合格 金黄色葡萄球菌║n=5,c=1,m=0/25mL║n=5,c=0,m=0/25mL",赛罕区桥华世纪村幸福路与芳鲜奶店,,
AD甜牛奶,广西合浦南国乳品厂,1,0,1,广西合浦工业园区中站项目集中区,2015-11-02,200ml/瓶,"不合格 大肠菌群║＜1CFU/mL，＜1CFU/mL，14CFU/mL，＜1CFU/mL，1CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",合浦南国乳品厂,,
高钙水牛奶,广西百强水牛奶业股份有限公司,1,0,1,广西灵山十里工业园,2015-09-23,195ml/瓶,不合格 大肠菌群║1CFU/mL，＜1CFU/mL，2CFU/mL，2CFU/mL，2CFU/mL║n=5，c=2，m=1CFU/mL，M=5CFU/mL,广西百强水牛奶业股份有限公司,,
鲜水牛奶,广西百强水牛奶业股份有限公司,1,0,1,广西灵山十里工业园,2015-09-22,195ml/瓶,不合格 大肠菌群║1CFU/mL，2CFU/mL，2CFU/mL，2CFU/mL，＜1CFU/mL║n=5，c=2，m=1CFU/mL，M=5CFU/mL,广西百强水牛奶业股份有限公司,,
鲜水牛奶,广西百色壮牛牧业有限公司,1,0,1,田阳县城东工业园东莞园,2015-11-24,200ml/瓶,"不合格 大肠菌群║6CFU/mL，＜1CFU/mL，26FU/mL，＜1CFU/mL，＜1CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",广西壮氏科技有限公司,,
AD水牛奶,广西百色壮牛牧业有限公司,1,0,1,田阳县城东工业园东莞园,2015-11-22,200ml,"不合格 大肠菌群║＜1CFU/mL，＜1CFU/mL，＜1FU/mL，9CFU/mL，＜1CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",广西百色壮牛牧业有限公司,,
壮氏水牛奶,广西百色壮牛牧业有限公司,1,0,1,田阳县城东工业园东莞园,2015-07-08,250ml/盒,不合格 蛋白质‖2.41g/100g‖≥2.9g/100g；非脂乳固体‖4.69g/100g‖≥8.1g/100g,田阳县阳光缘奶吧,,
风味酸水牛乳,崇左市天添乳品厂,1,0,1,崇左市江州区太平镇卜寨村（崇左城市工业区）,2015-11-02,208ml/瓶,"不合格 大肠菌群║2CFU/mL，＜1CFU/mL，＜1CFU/mL，2CFU/mL，5CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",崇左市天添乳品厂,,
智优调制牛奶（特含牛磺酸）,江苏太子乳业有限公司,1,0,1,江苏省泰州市兴化经济开发区城南路北经一路西侧,2016-03-11,195ml/杯,不合格 大肠菌群║n1:3;n2:3;n3:3;n4:2;n5:4║n:5;c:2;m:1;M:5,江苏太子乳业有限公司,,
金凯利·布拉尼城堡牌干酪,经销商/进口商：艾瑞氏乳业（深圳）有限公司,1,0,1,中国广东省深圳市南山区蛇口太子路海景广场15D,2015-12-02,198g/袋,不合格 酵母║670CFU/g║≤50CFU/g,上海世纪联华超市长宁有限公司,,
伊源全脂奶酪（甜味）,新疆伊源乳业股份有限公司,1,0,1,伊宁市边境经济合作区深圳路455号,20160408,100g/袋，软质干酪,不合格 纳他霉素||137mg/kg||＜10mg/kg,伊犁人来人网商贸有限公司,,
全脂酸奶干酪（软质）（甜味）,新源县闻羡乳品厂,1,0,1,新源县则新北路6号,20160408,200g/袋，未成熟,不合格 酵母||5500CFU/g||≤50CFU/g,乌鲁木齐市沙依巴克区半分利牛奶店,,
乐为尔纯牛奶(灭菌乳),甘肃酒泉市乐为尔乳业有限责任公司,1,0,1,酒泉市肃州区果园工业开发区,2014-10-6,195mL/袋,不合格 酸度║10.9°T║,北京华联综合超市股份有限公司酒泉分公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
长生纯牛奶（全脂灭菌纯牛奶）,烟台长生乳品有限公司,1,0,1,山东省烟台市芝罘区卧龙经济园区荆山路2号,2014-09-24,200mL/包,不合格 酸度║10.4 °T║,烟台长生乳品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
全脂巴氏杀菌乳,山东泰山安康生态乳业有限公司,1,0,1,泰安市岱岳区徂徕镇,2014-11-24,218g/盒,不合格 菌落总数║8500000 ，12000000，8900000，13000000，14000000 CFU/mL║,山东泰山安康生态乳业有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
奶油,呼伦贝尔海乳乳业有限责任公司,1,0,1,海拉尔区301国道南侧,2014-3-19,125克,"不合格 菌落总数║1200000,1100000,960000,910000,1000000CFU/g║",内蒙古呼伦贝尔是友谊有限责任公司友谊超市,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
双牛艾曼塔奶贝含乳制品（原味）,内蒙古双牛乳业有限责任公司,1,0,1,内蒙古呼和浩特赛罕区河西公路3公里处,2015-05-20,250g/袋,不合格 乙酰磺胺酸钾（安赛蜜）║0.066g/kg║不得检出,内蒙古维多利超市连锁有限公司金川店,,
双牛艾曼塔奶贝,内蒙古双牛乳业有限责任公司,1,0,1,内蒙古呼和浩特赛罕区河西公路3公里处,2015-07-23,150g/袋,不合格 乙酰磺胺酸钾（安赛蜜）║0.067g/kg║不得检出,内蒙古维多利超市连锁有限公司金桥店,,
巴氏杀菌乳,回民区金沃鲜奶店,1,0,1,内蒙古呼和浩特市回民区营坊道金凤商住楼1层12号,2015-11-11,/,"不合格 大肠菌群║1.2×102CFU/mL,1.0×102CFU/mL,1.4×102CFU/mL,1.2×102CFU/mL,1.3×102CFU/mL║n=5,c=2,m=1,M=5",回民区金沃鲜奶店,,
巴氏杀菌乳,回民区塔霖苏鲜奶店,1,0,1,内蒙古呼和浩特市回民区三顺店街景观小区商业房,2015-11-11,/,"不合格 金黄色葡萄球菌║检出,未检出,未检出,未检出,未检出║n=5,c=0,m=0/25mL",回民区塔霖苏鲜奶店,,
巴氏杀菌乳（500mL）,赛罕区桥华世纪村幸福路与芳鲜奶店,1,0,1,内蒙古自治区呼和浩特市回民区营坊道祥和家园7号楼1层030号,2015-11-13,/,"不合格 金黄色葡萄球菌║n=5,c=1,m=0/25mL║n=5,c=0,m=0/25mL",赛罕区桥华世纪村幸福路与芳鲜奶店,,
AD甜牛奶,广西合浦南国乳品厂,1,0,1,广西合浦工业园区中站项目集中区,2015-11-02,200ml/瓶,"不合格 大肠菌群║＜1CFU/mL，＜1CFU/mL，14CFU/mL，＜1CFU/mL，1CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",合浦南国乳品厂,,
高钙水牛奶,广西百强水牛奶业股份有限公司,1,0,1,广西灵山十里工业园,2015-09-23,195ml/瓶,不合格 大肠菌群║1CFU/mL，＜1CFU/mL，2CFU/mL，2CFU/mL，2CFU/mL║n=5，c=2，m=1CFU/mL，M=5CFU/mL,广西百强水牛奶业股份有限公司,,
鲜水牛奶,广西百强水牛奶业股份有限公司,1,0,1,广西灵山十里工业园,2015-09-22,195ml/瓶,不合格 大肠菌群║1CFU/mL，2CFU/mL，2CFU/mL，2CFU/mL，＜1CFU/mL║n=5，c=2，m=1CFU/mL，M=5CFU/mL,广西百强水牛奶业股份有限公司,,
鲜水牛奶,广西百色壮牛牧业有限公司,1,0,1,田阳县城东工业园东莞园,2015-11-24,200ml/瓶,"不合格 大肠菌群║6CFU/mL，＜1CFU/mL，26FU/mL，＜1CFU/mL，＜1CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",广西壮氏科技有限公司,,
AD水牛奶,广西百色壮牛牧业有限公司,1,0,1,田阳县城东工业园东莞园,2015-11-22,200ml,"不合格 大肠菌群║＜1CFU/mL，＜1CFU/mL，＜1FU/mL，9CFU/mL，＜1CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",广西百色壮牛牧业有限公司,,
壮氏水牛奶,广西百色壮牛牧业有限公司,1,0,1,田阳县城东工业园东莞园,2015-07-08,250ml/盒,不合格 蛋白质‖2.41g/100g‖≥2.9g/100g；非脂乳固体‖4.69g/100g‖≥8.1g/100g,田阳县阳光缘奶吧,,
风味酸水牛乳,崇左市天添乳品厂,1,0,1,崇左市江州区太平镇卜寨村（崇左城市工业区）,2015-11-02,208ml/瓶,"不合格 大肠菌群║2CFU/mL，＜1CFU/mL，＜1CFU/mL，2CFU/mL，5CFU/mL║n=5,c=2,m=1CFU/mL,M=5CFU/mL",崇左市天添乳品厂,,
智优调制牛奶（特含牛磺酸）,江苏太子乳业有限公司,1,0,1,江苏省泰州市兴化经济开发区城南路北经一路西侧,2016-03-11,195ml/杯,不合格 大肠菌群║n1:3;n2:3;n3:3;n4:2;n5:4║n:5;c:2;m:1;M:5,江苏太子乳业有限公司,,
金凯利·布拉尼城堡牌干酪,经销商/进口商：艾瑞氏乳业（深圳）有限公司,1,0,1,中国广东省深圳市南山区蛇口太子路海景广场15D,2015-12-02,198g/袋,不合格 酵母║670CFU/g║≤50CFU/g,上海世纪联华超市长宁有限公司,,
伊源全脂奶酪（甜味）,新疆伊源乳业股份有限公司,1,0,1,伊宁市边境经济合作区深圳路455号,20160408,100g/袋，软质干酪,不合格 纳他霉素||137mg/kg||＜10mg/kg,伊犁人来人网商贸有限公司,,
全脂酸奶干酪（软质）（甜味）,新源县闻羡乳品厂,1,0,1,新源县则新北路6号,20160408,200g/袋，未成熟,不合格 酵母||5500CFU/g||≤50CFU/g,乌鲁木齐市沙依巴克区半分利牛奶店,,
乐为尔纯牛奶(灭菌乳),甘肃酒泉市乐为尔乳业有限责任公司,1,0,1,酒泉市肃州区果园工业开发区,2014-10-6,195mL/袋,不合格 酸度║10.9°T║,北京华联综合超市股份有限公司酒泉分公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
长生纯牛奶（全脂灭菌纯牛奶）,烟台长生乳品有限公司,1,0,1,山东省烟台市芝罘区卧龙经济园区荆山路2号,2014-09-24,200mL/包,不合格 酸度║10.4 °T║,烟台长生乳品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
全脂巴氏杀菌乳,山东泰山安康生态乳业有限公司,1,0,1,泰安市岱岳区徂徕镇,2014-11-24,218g/盒,不合格 菌落总数║8500000 ，12000000，8900000，13000000，14000000 CFU/mL║,山东泰山安康生态乳业有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
奶油,呼伦贝尔海乳乳业有限责任公司,1,0,1,海拉尔区301国道南侧,2014-3-19,125克,"不合格 菌落总数║1200000,1100000,960000,910000,1000000CFU/g║",内蒙古呼伦贝尔是友谊有限责任公司友谊超市,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
长生纯牛奶（全脂灭菌纯牛奶）,烟台长生乳品有限公司,1,0,1,山东省烟台市芝罘区卧龙经济园区荆山路2号,2014-09-24,200mL/包,不合格 酸度║10.4 °T║,烟台长生乳品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
全脂巴氏杀菌乳,山东泰山安康生态乳业有限公司,1,0,1,泰安市岱岳区徂徕镇,2014-11-24,218g/盒,不合格 菌落总数║8500000 ，12000000，8900000，13000000，14000000 CFU/mL║,山东泰山安康生态乳业有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
奶油,呼伦贝尔海乳乳业有限责任公司,1,0,1,海拉尔区301国道南侧,2014-3-19,125克,"不合格 菌落总数║1200000,1100000,960000,910000,1000000CFU/g║",内蒙古呼伦贝尔是友谊有限责任公司友谊超市,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
大富低脂酸奶,江西省大富乳业集团有限公司,5,2,3,江西省萍乡市芦溪县银河,2016-8-31,200g/瓶,"不合格 大肠菌群(CFU/g)║    5;33;12;9;20║n:5,c:2,m:1,M:5",江西省大富乳业集团有限公司,,
大富低脂酸奶,江西省大富乳业集团有限公司,5,2,3,江西省萍乡市芦溪县银河,2016-8-30,200g/瓶,"不合格 大肠菌群(CFU/g)║    11;14;10;12;7║n:5,c:2,m:1,M:5",江西省大富乳业集团有限公司,,
大富低脂酸奶,江西省大富乳业集团有限公司,5,2,3,江西省萍乡市芦溪县银河,2016-8-29,200g/瓶,"不合格 大肠菌群(CFU/g)║    14;24;17;10;15║n:5,c:2,m:1,M:5",江西省大富乳业集团有限公司,,
大富低脂酸奶,江西省大富乳业集团有限公司,5,2,3,萍乡市芦溪县银河,2015-08-18,200g/瓶,合格,江西省大富乳业集团有限公司,江西,
大富低脂酸奶,江西省大富乳业集团有限公司,5,2,3,萍乡市芦溪县银河,2014-9-17,200g/瓶,合格,江西省大富乳业集团有限公司,江西,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
水牛酸奶,广西壮牛水牛乳业有限责任公司,2,1,1,南宁市邕武路24-1号,2015-10-13,198ml/瓶,合格,广西壮牛水牛乳业有限责任公司,广西,
水牛酸奶,广西壮牛水牛乳业有限责任公司,2,1,1,南宁市兴宁区邕武路24-1号,2014-8-5,198ml/瓶,不合格 霉菌║80CFU/mL║,广西壮牛水牛乳业有限责任公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
西江甜炼乳,广西农垦西江乳业有限公司,2,1,1,广西贵港市西江农场总场,2016-08-15,415g,不合格 水分║33.4%（m/m）║≤27.0%（m/m）,贵港市港北区阳光都市德龙百货超市,,
西江甜炼乳,广西农垦西江乳业有限公司,2,1,1,广西贵港市西江农场总场,2016-06-02,415g,合格,广西贵港市华隆超市有限公司荷花店,广西,
康壮壮驴肉,临清市康壮壮肉业食品有限公司,2,1,1,山东省临清市康圣庄工业园,2016-05-30,200g/袋,不合格 镉‖1.1mg/kg‖≤0.1mg/kg,临清市康壮壮肉业食品有限公司,,
康壮壮驴肉,临清市康壮壮肉业食品有限公司,2,1,1,临清市康壮壮肉业食品有限公司,2015-08-30,200g/袋,合格,临清市康壮壮肉业食品有限公司,山东,
消毒鲜牛奶,都匀市奶牛场,2,1,1,贵州省黔南州都匀市平浪镇平坝村,2016-08-09,220mL/袋,不合格 非脂乳固体‖7.6g/100g‖≥8.1g/100g,都匀市奶牛场,,
消毒鲜牛奶,都匀市奶牛场,2,1,1,贵州省都匀市平浪镇平坪村,2016-03-08,220mL/袋,合格,都匀市奶牛场,贵州,
全脂巴氏杀菌乳,贵州牧草种籽繁殖场,2,1,1,贵州省独山县上司筹洞,2016-01-05,200mL/袋,合格,贵州牧草种籽繁殖场,贵州,
全脂巴氏杀菌乳,贵州牧草种籽繁殖场,2,1,1,贵州省独山县上司镇筹洞,2015-11-04,200mL/袋,不合格 黄曲霉毒素M1‖0.8μg/kg‖≤0.5μg/kg,贵州牧草种籽繁殖场,,
巴氏杀菌乳,赛罕区前进巷牛嬷嬷鲜奶栈,2,1,1,内蒙古呼和浩特市赛罕区前进巷北段东侧5号楼10号,2015-11-13,/,"不合格 金黄色葡萄球菌║n=5,c=1,m=0/25mL║n=5,c=0,m=0/25mL",赛罕区前进巷牛嬷嬷鲜奶栈,,
巴氏杀菌乳,赛罕区前进巷牛嬷嬷鲜奶栈,2,1,1,内蒙古呼和浩特市赛罕区前进巷北段东侧5号楼10号,2015-11-11,/,合格,赛罕区前进巷牛嬷嬷鲜奶栈,内蒙古,
AD奶,皇氏集团股份有限公司来宾乳品分公司,2,1,1,广西来宾市华侨投资区星城路1号,2016-08-04,200mL,合格,皇氏集团股份有限公司来宾乳品分公司,广西,
AD奶,皇氏集团股份有限公司来宾乳品分公司,2,1,1,广西来宾市华侨投资区星城路1号,2015-09-24,200mL,不合格 大肠菌群║1CFU/mL，14CFU/mL，12CFU/mL，＜1CFU/mL，＜1CFU/mL║n=5，c=2，m=1CFU/mL，M=5CFU/mL,皇氏集团股份有限公司来宾乳品分公司,,
AD水牛奶,广西百强水牛奶业股份有限公司,2,1,1,广西灵山十里工业园,2015-11-03,195ml/瓶,合格,广西百强水牛奶业股份有限公司,广西,
AD水牛奶,广西百强水牛奶业股份有限公司,2,1,1,广西灵山十里工业园,2015-09-23,195ml/瓶,不合格 大肠菌群║1CFU/mL，5CFU/mL，1CFU/mL，2CFU/mL，2CFU/mL║n=5，c=2，m=1CFU/mL，M=5CFU/mL,广西百强水牛奶业股份有限公司,,
AD鲜牛奶,广西石埠乳业有限责任公司,2,1,1,广西南宁市良庆区建业二里3号,2015-11-15,200ml/瓶,合格,广西石埠乳业有限责任公司,广西,
AD鲜牛奶,广西石埠乳业有限责任公司,2,1,1,广西南宁市良庆区建业二里3号,2015-10-14,200ml/瓶,"不合格 大肠菌群║＜1CFU/ml；＜1CFU/ml；19CFU/ml；＜1CFU/ml；36CFU/ml║n=5,c=2,m=1CFU/ml,M=5CFU/ml",广西石埠乳业有限责任公司,,
原生态水牛奶,广西壮牛水牛乳业有限责任公司,5,3,2,南宁市邕武路24-1号,2015-11-17,198ml/瓶,合格,广西壮牛水牛乳业有限责任公司,广西,
原生态水牛奶,广西壮牛水牛乳业有限责任公司,5,3,2,南宁市邕武路24-1号,2015-10-13,198ml/瓶,合格,广西壮牛水牛乳业有限责任公司,广西,
原生态水牛奶,广西壮牛水牛乳业有限责任公司,5,3,2,南宁市邕武路24-1号,2014-9-10,198ml/瓶,合格,广西壮牛水牛乳业有限责任公司,广西,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
原生态水牛奶,广西壮牛水牛乳业有限责任公司,5,3,2,南宁市兴宁区邕武路24-1号,2014-8-5,198ml/瓶,"不合格 大肠菌群║6，11,10,3,8CFU/mL║",广西壮牛水牛乳业有限责任公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
原生态水牛奶,广西壮牛水牛乳业有限责任公司,5,3,2,南宁市兴宁区邕武路24-1号,2014-7-3,198ml/瓶,"不合格 大肠菌群║＜1,16,10,8，＜1CFU/mL║；金黄色葡萄球菌║检出，检出，检出，检出，0/25mL║",广西壮牛水牛乳业有限责任公司,,包括重金属、生物毒素、食品添加剂、微生物指标和品质指标等共37个指标。
