food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
绿豆沙冰,重庆美挞乐食品有限公司,3,0,3,重庆市沙坪坝区曾家镇曾福路4号楼1#-21#,2016-10-24,320ml/杯,不合格 菌落总数║97000CFU/mL║≤20000CFU/mL,重庆美挞乐食品有限公司,,
绿豆沙冰,重庆美挞乐食品有限公司,3,0,3,重庆市沙坪坝区曾家镇曾福路4号楼1#-21#,2016-10-23,320ml/杯,不合格 菌落总数║79000CFU/mL║≤20000CFU/mL；大肠菌群║≥2400MPN/100mL║≤450MPN/100mL,重庆美挞乐食品有限公司,,
绿豆沙冰,重庆美挞乐食品有限公司,3,0,3,重庆市沙坪坝区曾家镇曾福路4号楼1#-21#,2016-10-22,320ml/杯,不合格 菌落总数║61000CFU/mL║≤20000CFU/mL,重庆美挞乐食品有限公司,,
绿豆沙冰,合肥五丰堂食品有限公司合肥分公司,2,0,2,安徽省合肥市肥东县经济开发区西外环路西纬三路北侧,2016-08-10,330ml/瓶,不合格 菌落总数║50000CFU/mL║≤20000CFU/mL,合肥五丰堂食品有限公司合肥分公司,,
绿豆沙冰,合肥五丰堂食品有限公司合肥分公司,2,0,2,安徽省合肥市肥东县经济开发区西外环路西纬三路北侧,2016-08-09,330ml/瓶,不合格 菌落总数║140000CFU/mL║≤20000CFU/mL,合肥五丰堂食品有限公司合肥分公司,,
咕噜绿豆沙冰雪泥,繁昌县玖加玖食品有限公司,2,0,2,安徽省芜湖市繁昌县繁阳镇缸窑村,2016-08-25,340ml/瓶,不合格 1.菌落总数║110000CFU/mL║≤20000CFU/mL                           2.大肠菌群║2400MPN/100mL║≤450MPN/100mL；,繁昌县玖加玖食品有限公司,,
咕噜绿豆沙冰雪泥,繁昌县玖加玖食品有限公司,2,0,2,安徽省芜湖市繁昌县繁阳镇缸窑村,2016-08-24,340ml/瓶,不合格 菌落总数║22000CFU/mL║≤20000CFU/mL,繁昌县玖加玖食品有限公司,,
红枣牛奶味雪糕,济南伊利乳业有限责任公司,1,0,1,济南市平阴县济西工业园区,2015-4-30,70克/支,不合格 大肠菌群║2400 MPN/100mL║≤450 MPN/100mL,中山火炬开发区柏轩食品商店,,蛋白质等理化指标，铅等重金属指标，甜蜜素、糖精钠、柠檬黄等食品添加剂指标，大肠菌群、菌落总数、金黄色葡萄球菌等微生物指标和非食用物质共5个指标的16个检验项目
美国瓜子雪糕,湖南金糯咪食品有限责任公司,1,0,1,湖南省怀化市中方县湘商产业科技园,2015-4-1,76克/条,不合格 菌落总数║380000 cfu/mL║≤25000 CFU/mL,高要市南岸浩丰雪糕店,,蛋白质等理化指标，铅等重金属指标，甜蜜素、糖精钠、柠檬黄等食品添加剂指标，大肠菌群、菌落总数、金黄色葡萄球菌等微生物指标和非食用物质共5个指标的16个检验项目
冰糖味棒冰,内蒙古蒙牛乳业（集团）股份有限公司,1,0,1,内蒙古呼和浩特市和林格尔盛东经济园区(产地：乌兰察布3A),2015-5-12,75g/支,不合格 大肠菌群║4600 MPN/100mL║≤450 MPN/100mL,馆陶县商城万家福超市,,蛋白质等理化指标，铅等重金属指标，甜蜜素、糖精钠、柠檬黄等食品添加剂指标，大肠菌群、菌落总数、金黄色葡萄球菌等微生物指标和非食用物质共5个指标的16个检验项目
银蚂蚁芝麻脆皮雪糕,济宁市南泊玩食品有限公司,1,0,1,嘉祥县新汽车站西邻,2015-4-20,55g/支,不合格 菌落总数║62000 cfu/mL║≤25000 CFU/mL,馆陶县堂堂冷饮门市,,蛋白质等理化指标，铅等重金属指标，甜蜜素、糖精钠、柠檬黄等食品添加剂指标，大肠菌群、菌落总数、金黄色葡萄球菌等微生物指标和非食用物质共5个指标的16个检验项目
