food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
东武楼大武口凉皮,宁夏东武楼电子科技有限公司,2,0,2,宁夏省石嘴山市高新开发区,20160530,700g/盒,不合格 菌落总数；100000000cfu/g；≤1000cfu/g；大肠菌群；≥24000MPN/100g；≤70MPN/100g,银川市兴庆区好士多连锁便利十店,,
东武楼大武口凉皮,宁夏东武楼电子科技有限公司,2,0,2,宁夏省石嘴山市高新开发区,20160529,700g/盒,不合格 菌落总数；200000000cfu/g；≤1000cfu/g；大肠菌群；≥24000MPN/100g；≤70MPN/100g,银川市兴庆区好士多连锁便利十店,,
大黄鱼（调味面制品）,扶沟张振兴食品厂,2,0,2,扶沟县大李庄乡冯老村,2016-08-22,28g/袋,不合格 菌落总数║54000CFU/g║≤ 10000CFU/g,新乡市卫滨区天银副食品商行,,
大黄鱼（调味面制品）,扶沟张振兴食品厂,2,0,2,扶沟县大李庄乡冯老村,2016-08-22,28g/袋,不合格 菌落总数║200000CFU/g║≤ 10000CFU/g,新乡市卫滨区晓丽副食品批发部,,
平江佬（调味面制食品）,汝州市湘汝食品厂,2,0,2,汝州市临汝镇东营村,2016-10-17,28g/袋,不合格 菌落总数║170000CFU/g║≤ 10000CFU/g,洛阳市洛龙区关林市场会立副食批发部,,
平江佬（调味面制食品）,汝州市湘汝食品厂,2,0,2,汝州市临汝镇东营村,2016-10-10,28g/袋,不合格 菌落总数║87000CFU/g║≤ 10000CFU/g,偃师市城关镇商都路万隆副食店,,
苦荞豌豆糊,山西臣丰食业有限责任公司,2,0,2,山西省朔州市右玉工业园区,2016-04-18,300g/袋,不合格 菌落总数║98000CFU/g║≤10000CFU/g,山西臣丰食业有限责任公司,,
苦荞豌豆糊,山西臣丰食业有限责任公司,2,0,2,山西省朔州市右玉县工业园区,2016-03-30,300g/袋,"不合格 菌落总数║200000CFU/g║≤10000CFU/g,大肠菌群║4600MPN/100g║≤40MPN/100g,霉菌║150CFU/g║≤50CFU/g",山西臣丰食业有限责任公司,,
木卡姆麻辣面制小食品,乌鲁木齐市米东区萍粮食品厂,1,0,1,新疆乌鲁木齐市米东区古牧地镇太平渠村四队,20160520,30g/袋，其他方便食品,不合格 安赛蜜||0.1g/kg||不得检出,乌鲁木齐市米东区萍粮食品厂,,
松花粉果糖冲调粉,山西康宝生物科技有限公司,1,0,1,山西省长治市长子县汉阙广场康宝工业园,2016-06-16,6.5g×30/盒,不合格 铅║1.74mg/kg║≤0.45mg/kg,山西康宝生物科技有限公司,,
