food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
香辣味小鱼,江西明月湖食品有限公司,4,0,4,萍乡市安源区白源,2014-10-30,18g/袋,不合格 镉║0.22mg/kg║,江西明月湖食品有限公司,,包括重金属、微生物指标、食品添加剂等28个指标。
香辣味小鱼,江西明月湖食品有限公司,4,0,4,萍乡市安源区白源,2014-10-30,18g/袋,不合格 镉║0.22mg/kg║,江西明月湖食品有限公司,,包括重金属、微生物指标、食品添加剂等28个指标。
香辣味小鱼,江西明月湖食品有限公司,4,0,4,萍乡市安源区白源,2014-10-27,18g/袋,不合格 镉║0.25mg/kg║,江西明月湖食品有限公司,,包括重金属、微生物指标、食品添加剂等28个指标。
香辣味小鱼,江西明月湖食品有限公司,4,0,4,萍乡市安源区白源,2014-10-27,18g/袋,不合格 镉║0.25mg/kg║,江西明月湖食品有限公司,,包括重金属、微生物指标、食品添加剂等28个指标。
蟹,/,4,0,4,/,/,散装称重,不合格 镉║0.96mg/kg║≤0.5mg/kg,林克增,,
蟹,/,4,0,4,/,/,散装称重,不合格 镉║0.97mg/kg║≤0.5mg/kg,任翠花,,
蟹,/,4,0,4,/,/,散装称重,不合格 镉║0.96mg/kg║≤0.5mg/kg,林克增,,
蟹,/,4,0,4,/,/,散装称重,不合格 镉║0.97mg/kg║≤0.5mg/kg,任翠花,,
大开洋,苍南县海达利食品有限公司,4,0,4,苍南县石砰乡,2015-5-17,/,不合格 亚硫酸盐（以二氧化硫残留量计）║414mg/kg║不得使用,上海新欧尚超市有限公司绍兴店,,水产品中重金属铅、甲基汞、无机砷和铬，食品添加剂苯甲酸、山梨酸、亚硫酸盐（以二氧化硫残留量计）、柠檬黄、日落黄、苋菜红、胭脂红、亮蓝、偶氮玉红、铝、亚硝酸盐，非食用物质甲醛等理化指标共16个
大开洋,苍南县海达利食品有限公司,4,0,4,苍南县石砰乡,2015-5-17,/,不合格 亚硫酸盐（以二氧化硫残留量计）║414mg/kg║不得使用,上海新欧尚超市有限公司绍兴店,,水产品中重金属铅、甲基汞、无机砷和铬，食品添加剂苯甲酸、山梨酸、亚硫酸盐（以二氧化硫残留量计）、柠檬黄、日落黄、苋菜红、胭脂红、亮蓝、偶氮玉红、铝、亚硝酸盐，非食用物质甲醛等理化指标共16个
大开洋,苍南县海达利食品有限公司,4,0,4,苍南县石砰乡,2015-4-15,/,不合格 亚硫酸盐（以二氧化硫残留量计）║208mg/kg║不得使用,宁波欧尚超市有限公司舟山店,,水产品中重金属铅、甲基汞、无机砷和铬，食品添加剂苯甲酸、山梨酸、亚硫酸盐（以二氧化硫残留量计）、柠檬黄、日落黄、苋菜红、胭脂红、亮蓝、偶氮玉红、铝、亚硝酸盐，非食用物质甲醛等理化指标共16个
大开洋,苍南县海达利食品有限公司,4,0,4,苍南县石砰乡,2015-4-15,/,不合格 亚硫酸盐（以二氧化硫残留量计）║208mg/kg║不得使用,宁波欧尚超市有限公司舟山店,,水产品中重金属铅、甲基汞、无机砷和铬，食品添加剂苯甲酸、山梨酸、亚硫酸盐（以二氧化硫残留量计）、柠檬黄、日落黄、苋菜红、胭脂红、亮蓝、偶氮玉红、铝、亚硝酸盐，非食用物质甲醛等理化指标共16个
