food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
盐津铺子食品股份有限公司生产的甘甜话梅,盐津铺子食品股份有限公司,1,0,1,湖南浏阳生物医药工业园,2016-06-06；20160606A20,130g/盒,不合格 安赛蜜（乙酰磺胺酸钾）|150.70mg/kg|不得检出,泉州永辉超市有限公司晋江万达广场店,,
永宏酥脆冬枣,黄骅市航宇食品有限公司,1,0,1,黄骅市滕庄子乡孔店村,2016-08-18,200g/袋,不合格 菌落总数║5800CFU/g║≤1000CFU/g,沧州市沧之州商贸有限公司,,
奶优布甸蓝莓味果冻,潮州市潮安区日新工贸有限公司,1,0,1,潮州市潮安区安埠庄陇工业区,2016年03月09日,135克/盒,不合格 霉菌（cfu/g）║50 ║≤20,北京市平谷互惠商贸中心第一分店,,
葡萄干,上海喜德旺食品有限公司分公司,1,0,1,上海市松江区九亭镇茂联路390号6幢,2016-06-24,250克/袋,不合格 霉菌║950FU/g║≤50CFU/g,上海易买得超市有限公司曲阳店,,
果酱,潮州市开发区嘉男食品厂,1,0,1,潮州市凤山六工尾工业区,2016-08-01,1kg/瓶,不合格 乙酰磺胺酸钾(又名安赛蜜)‖0.57g/kg‖≤0.3g/kg,蓬江区溢香源食品贸易行,,
甘草梅,新兴县富达食品有限公司,1,0,1,广东省新兴县太平镇大榔开发区,2015-12-06,180g/盒,不合格 环己基氨基磺酸钠(又名甜蜜素)‖17.69g/kg‖≤8.0g/kg（凉果类、话化类、果丹（饼）类）,梅州市昌大昌超级购物广场有限公司,,
猕猴桃果脯,东莞市冯佰宋食品有限公司,1,0,1,东莞市茶山镇塘角工业区,2016-04-09,320克/袋,不合格 二氧化硫残留量‖1.25g/kg‖≤0.35g/kg,河源市源城区自家人土特产店,,
调味果味酱,广州市白云区味鲜食品厂,1,0,1,广州市白云区人和镇大巷二社工业园,2016-05-08,1.25L/瓶,不合格 糖精钠‖1.6g/kg‖≤0.2g/kg；乙酰磺胺酸钾(安赛蜜)‖1.8g/kg‖≤0.3g/kg；环己基氨基磺酸钠(甜蜜素)‖2.79g/kg‖≤1.0g/kg,蓬江区溢香源食品贸易行,,
雪梨清饮（雪梨干）,石家庄市赵龙食品有限责任公司韩村分公司,1,0,1,赵县韩村工业开发区,2016-04-16,72克/袋,不合格 菌落总数║3400CFU/g║≤1000CFU/g,河北保龙仓家乐福商业有限公司中山路店,,
雪梨干,石家庄市赵龙食品有限责任公司韩村分公司,1,0,1,赵县韩村工业开发区,2016-08-03,100克/袋,不合格 二氧化硫残留量（以SO2计）║0.71g/kg║≤0.1g/kg,河北保龙仓家乐福商业有限公司中山路店,,
