food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
金吉源鲜粉条,宁夏全吉清真食品科技有限公司,3,0,3,宁夏吴忠市利通区上桥创业园39号,20160601,200克/袋,不合格 铝的残留量（以干基记）；1170mg/kg;≤200mg/kg,北京华联综合超市股份有限公司银川分公司,,
金吉源鲜粉条,宁夏全吉清真食品科技有限公司,3,0,3,宁夏吴忠市利通区上桥创业园40号,20160529,200克/袋,不合格 铝的残留量（以干基记）；1270mg/kg;≤200mg/kg,北京华联综合超市股份有限公司银川分公司,,
金吉源鲜粉条,宁夏全吉清真食品科技有限公司,3,0,3,宁夏吴忠市利通区上桥创业园38号,2016-05-21,200克/袋,不合格 铝的残留量（以干基记）；1060mg/kg;≤200mg/kg,银川市双宝副食品有限公司菜篮子景墨店,,
家乡土豆粉,内蒙古包头市老家食品有限公司,2,0,2,内蒙古包头市青山区兴胜镇色气湾村,2016/08/18,350克/袋,不合格 铝的残留量（干样品，以A1计）║1.06×103mg/kg║≤200mg/kg,内蒙古包头百货大楼集团股份有限公司大楼超市,,
家乡土豆粉,内蒙古包头市老家食品有限公司,2,0,2,内蒙古包头市青山区兴胜镇色气湾村,2016/08/18,350克/袋,不合格 铝的残留量（干样品，以A1计）║1.29×103mg/kg║≤200mg/kg,内蒙古包头百货大楼集团股份有限公司大楼超市,,
红薯粉条,河南悦盛实业有限公司,2,0,2,汝州市庙下镇三粉基地,2016-09-25,净含量：1000g/袋,不合格 铝的残留量（以干基计）║230.6mg/kg║≤200mg/kg,西华县城关国强干菜店,,
红薯粉条,河南悦盛实业有限公司,2,0,2,汝州市庙下镇三粉基地,2016-09-21,净含量：1000g/袋,不合格 铝的残留量（以干基计）║222.0mg/kg║≤200mg/kg,淮阳县城内白慧干调门市部,,
红薯粉条,定陶县甲益淀粉制品有限公司,2,0,2,山东省菏泽市定陶区马集西刘楼村村东,2016-06-18,500g/袋,不合格 铝的残留量(干样品，以Al计)‖326mg/kg‖≤200mg/kg,定陶县甲益淀粉制品有限公司,,
红薯粉条,定陶县甲益淀粉制品有限公司,2,0,2,菏泽市定陶区马集镇大李家行政村樊庄村北路东,2016-04-23,500g/袋,不合格 铝的残留量‖215mg/kg‖≤200mg/kg,定陶县甲益淀粉制品有限公司,,
红薯粉条,禹州市宝枝粉条厂,2,0,2,禹州市古城镇桐树张村,2016-01-02,306g/袋,不合格 铝的残留量（干样品，以Al计）║250.1mg/kg║≤200mg/kg,三门峡市天天超市（普通合伙）,,
