food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
新洁蒜肠,张家口市新正食品有限公司,4,0,4,河北省张家口高新区老鸦庄镇流平寺,2014-11-12,350g/根,不合格,张家口市新正食品有限公司,,包括重金属、兽药残留、微生物指标以及食品添加剂等共32个指标。
新洁蒜肠,张家口市新正食品有限公司,4,0,4,河北省张家口高新区老鸦庄镇流平寺,2014-11-12,350g/根,不合格,张家口市新正食品有限公司,,包括重金属、兽药残留、微生物指标以及食品添加剂等共32个指标。
新洁蒜肠,张家口市新正食品有限公司,4,0,4,河北省张家口市高新区老鸦庄镇流平寺村,2014-9-14,350g/根,不合格,张家口市新正食品有限公司,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
新洁蒜肠,张家口市新正食品有限公司,4,0,4,河北省张家口市高新区老鸦庄镇流平寺村,2014-9-14,350g/根,不合格,张家口市新正食品有限公司,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
宴友思精品猪蹄,陕西宴友思股份有限公司,4,0,4,陕西省三原县宴友思大街中段,2016-1-10,400克/袋,不合格,西安市人人乐超市有限公司高新购物广场,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等禁用兽药，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等54个指标
宴友思精品猪蹄,陕西宴友思股份有限公司,4,0,4,陕西省三原县宴友思大街中段,2016-1-10,400克/袋,不合格,西安市人人乐超市有限公司高新购物广场,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等禁用兽药，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等54个指标
宴友思精品猪蹄,陕西宴友思股份有限公司,4,0,4,陕西省三原县宴友思大街中段,2016-1-1,400克/袋,不合格,西安市人人乐超市有限公司高新购物广场,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等禁用兽药，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等54个指标
宴友思精品猪蹄,陕西宴友思股份有限公司,4,0,4,陕西省三原县宴友思大街中段,2016-1-1,400克/袋,不合格,西安市人人乐超市有限公司高新购物广场,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等禁用兽药，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等54个指标
喜上喜吉祥腊肠,深圳市喜上喜食品加工有限公司,4,0,4,深圳市龙岗区横岗街道金源路16号,2014-12-6,300克/包,不合格,广州市好又多百货商业广场有限公司广雅分公司,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等兽药残留，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等38个指标
喜上喜吉祥腊肠,深圳市喜上喜食品加工有限公司,4,0,4,深圳市龙岗区横岗街道金源路16号,2014-12-6,300克/包,不合格,广州市好又多百货商业广场有限公司广雅分公司,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等兽药残留，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等38个指标
喜上喜吉祥腊肠,深圳市喜上喜食品加工有限公司,4,0,4,深圳市龙岗区横岗街道金源路16号,2014-12-1,300克/包,不合格,广州市好又多百货商业广场有限公司广雅分公司,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等兽药残留，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等38个指标
喜上喜吉祥腊肠,深圳市喜上喜食品加工有限公司,4,0,4,深圳市龙岗区横岗街道金源路16号,2014-12-1,300克/包,不合格,广州市好又多百货商业广场有限公司广雅分公司,,包括铅、铬、砷等重金属，克伦特罗、沙丁胺醇、莱克多巴胺等兽药残留，苯甲酸、山梨酸、糖精钠等食品添加剂和微生物指标等38个指标
香辣鸡翅,成都友伦食品有限公司,4,0,4,郫县中国川菜产业化园区永安路,2014-8-14,100克,不合格,北京新世联华超市青神县加盟店,,包括重金属、兽药残留、食品添加剂、微生物指标等38个指标。
香辣鸡翅,成都友伦食品有限公司,4,0,4,郫县中国川菜产业化园区永安路,2014-8-14,100克,不合格,北京新世联华超市青神县加盟店,,包括重金属、兽药残留、食品添加剂、微生物指标等38个指标。
香辣鸡翅,成都友伦食品有限公司,4,0,4,郫县中国川菜产业化园区永安路,2014-8-14,100克,不合格,丹棱县北京新世联华超市加盟店,,包括重金属、兽药残留、食品添加剂、微生物指标等38个指标。
香辣鸡翅,成都友伦食品有限公司,4,0,4,郫县中国川菜产业化园区永安路,2014-8-14,100克,不合格,丹棱县北京新世联华超市加盟店,,包括重金属、兽药残留、食品添加剂、微生物指标等38个指标。
撕丝香牦牛肉（麻辣味）,四川红原黑帐篷牦牛肉食品有限责任公司（原为红原县邛溪镇牦牛肉干厂）,3,0,3,四川省阿坝州红原县邛溪镇瑞庆中路,2016-06-28,200克/袋,不合格,四川红原黑帐篷牦牛肉食品有限责任公司,,
撕丝香牦牛肉（麻辣味）,四川红原黑帐篷牦牛肉食品有限责任公司（原为红原县邛溪镇牦牛肉干厂）,3,0,3,四川省阿坝州红原县邛溪镇瑞庆中路,2015-07-31,200克/袋,不合格,四川红原黑帐篷牦牛肉食品有限责任公司,,
撕丝香牦牛肉（麻辣味）,四川红原黑帐篷牦牛肉食品有限责任公司（原为红原县邛溪镇牦牛肉干厂）,3,0,3,四川省阿坝州红原县邛溪镇瑞庆中路,2015-07-31,200克/袋,不合格,四川红原黑帐篷牦牛肉食品有限责任公司,,
广式腊肠,潮州市湘桥区金日腊味食品厂,3,0,3,潮州市湘桥区中山路葡萄巷中段,2016-10-24,160克/袋,不合格,潮州市湘桥区甸园食品店,,
广式腊肠,潮州市湘桥区金日腊味食品厂,3,0,3,潮州市湘桥区中山路葡萄巷中段,2016-10-10,160克/袋,不合格,潮州市湘桥区甸园食品店,,
广式腊肠,潮州市湘桥区金日腊味食品厂,3,0,3,潮州市湘桥区中山路葡萄巷中段,2016-10-01,160克/袋,不合格,潮州市湘桥区名都购物中心,,
蟠龙菜（简装）,钟祥市代先食品有限责任公司,3,0,3,湖北省荆门市钟祥郢中镇朝宗桥社区,2016-03-07,500g/袋,不合格,中百仓储潜江购物广场有限公司,,
蟠龙菜（简装）,钟祥市代先食品有限责任公司,3,0,3,湖北钟祥新邮电局向西200米,2015-10-30,500g/袋,不合格,中百仓储超市有限公司蔡甸金家店,,
蟠龙菜（简装）,钟祥市代先食品有限责任公司,3,0,3,湖北钟祥新邮电局向西200米,2015-10-30,500g/袋,不合格,中百仓储超市有限公司蔡甸金家店,,
土家腊肉干,湖北省思乐牧业集团有限公司,3,0,3,湖北省恩施州后山湾111号,2016-05-16,200g/袋,不合格,湖北省思乐牧业集团有限公司,,
土家腊肉干,湖北省思乐牧业集团有限公司,3,0,3,湖北县恩施市后山湾111号,2015-08-17,200g/袋,不合格,宣恩县新景添购物广场有限责任公司,,
土家腊肉干,湖北省思乐牧业集团有限公司,3,0,3,湖北县恩施市后山湾111号,2015-08-17,200g/袋,不合格,宣恩县新景添购物广场有限责任公司,,
牛板筋,吉林市兴旭食品有限公司,3,0,3,吉林省吉林市龙潭区江密峰一委一组,2016-08-25,45g/袋,不合格,舒兰市立春超市,,
牛板筋,吉林市兴旭食品有限公司,3,0,3,吉林省吉林市龙潭区江密峰镇一委一组,2016-07-21,45g/袋,不合格,松原市万隆超市有限责任公司,,
牛板筋,吉林市兴旭食品有限公司,3,0,3,吉林省吉林市龙潭区江密峰镇一委一组,2016-04-29,45g/袋,不合格,辉南县万家福超市有限责任公司,,
手撕牦牛肉（五香味）,四川红原黑帐篷牦牛肉食品有限责任公司,3,0,3,四川省阿坝州红原县邛溪镇瑞庆中路,2016-06-28,108克/袋,不合格,四川红原黑帐篷牦牛肉食品有限责任公司,,
手撕牦牛肉（五香味）,四川红原黑帐篷牦牛肉食品有限责任公司,3,0,3,四川省阿坝州红原县邛溪镇瑞庆中路,2015-07-31,108克/袋,不合格,四川红原黑帐篷牦牛肉食品有限责任公司,,
手撕牦牛肉（五香味）,四川红原黑帐篷牦牛肉食品有限责任公司,3,0,3,四川省阿坝州红原县邛溪镇瑞庆中路,2015-07-31,108克/袋,不合格,四川红原黑帐篷牦牛肉食品有限责任公司,,
水牛肉,盐城市秦水牛业有限公司,2,0,2,盐城市盐都区秦南镇虹园路64号,2014-9-18,225g/袋,不合格,盐城市秦水牛业有限公司,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
水牛肉,盐城市秦水牛业有限公司,2,0,2,盐城市盐都区秦南镇虹园路64号,2014-9-18,225g/袋,不合格,盐城市秦水牛业有限公司,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
香辣土鸡爪,睢宁文迭食品厂,2,0,2,江苏省徐州市睢宁县邱集镇工业集中区2号,2014-9-17,38g/袋,不合格,睢宁文迭食品厂,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
香辣土鸡爪,睢宁文迭食品厂,2,0,2,江苏省徐州市睢宁县邱集镇工业集中区2号,2014-9-17,38g/袋,不合格,睢宁文迭食品厂,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
野山椒凤爪（酱卤肉制品）,南京海鲸食品厂,2,0,2,南京市溧水区和凤双牌石,2014-6-1,35g/袋,不合格,仪征市月塘月新苏果超市加盟店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
野山椒凤爪（酱卤肉制品）,南京海鲸食品厂,2,0,2,南京市溧水区和凤双牌石,2014-6-1,35g/袋,不合格,仪征市月塘月新苏果超市加盟店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
铁板烧烤肠,苏州口口香食品有限公司,2,0,2,苏州市吴中区经济开发区田上江路盛南路10号,2014-9-7,称重,不合格,苏州口口香食品有限公司,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
铁板烧烤肠,苏州口口香食品有限公司,2,0,2,苏州市吴中区经济开发区田上江路盛南路10号,2014-9-7,称重,不合格,苏州口口香食品有限公司,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
松花鸡腿（酱卤肉制品）,铁岭厚德食品有限责任公司,2,0,2,铁岭市昌图县昌图镇南街43组252栋2号,2014-8-10,140g/袋,不合格,沈阳市于洪区沙岭多又好便利店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
松花鸡腿（酱卤肉制品）,铁岭厚德食品有限责任公司,2,0,2,铁岭市昌图县昌图镇南街43组252栋2号,2014-8-10,140g/袋,不合格,沈阳市于洪区沙岭多又好便利店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
酱鸭,北京东广发工贸有限公司,2,0,2,北京市大兴区魏善庄镇羊坊村委会东南500米,2014-9-20,计量销售,不合格,北京超市发连锁股份有限公司利客隆檀西店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
酱鸭,北京东广发工贸有限公司,2,0,2,北京市大兴区魏善庄镇羊坊村委会东南500米,2014-9-20,计量销售,不合格,北京超市发连锁股份有限公司利客隆檀西店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
牛肉风味排,菏泽帝园食品有限公司,2,0,2,山东省菏泽开发区佃户屯工业园,2014-4-6,500克/袋,不合格,沃尔玛（北京）商业零售有限公司清河分店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
牛肉风味排,菏泽帝园食品有限公司,2,0,2,山东省菏泽开发区佃户屯工业园,2014-4-6,500克/袋,不合格,沃尔玛（北京）商业零售有限公司清河分店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
汉堡牛排（焦嫩芝香味）,惠康鲜食品（天津）有限公司,2,0,2,天津市宝坻区马家店工业园区管委会路9号,2014-6-14,480克/袋,不合格,沃尔玛（北京）商业零售有限公司清河分店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
汉堡牛排（焦嫩芝香味）,惠康鲜食品（天津）有限公司,2,0,2,天津市宝坻区马家店工业园区管委会路9号,2014-6-14,480克/袋,不合格,沃尔玛（北京）商业零售有限公司清河分店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
川味香肠（麻辣味）,重庆市其松食品厂,2,0,2,重庆市铜梁县虎峰镇久远村二社77号,2014-8-18,300g/袋,不合格,家乐福望京店,,包括重金属、药物残留、微生物指标、食品添加剂等32个指标。
