food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
二郎山乌茶（乌金）,雅安农耕时代生态农业有限公司,2,0,2,雅安市天全县解放街138号,2014-10-4,240g/盒,不合格 三氯杀螨醇║0.55mg/kg║,雅安农耕时代生态农业有限公司,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
二郎山乌茶（乌金）,雅安农耕时代生态农业有限公司,2,0,2,雅安市天全县解放街138号,2014-10-4,240g/盒,不合格 三氯杀螨醇║0.55mg/kg║,雅安农耕时代生态农业有限公司,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
茶叶（龙井茶）,杭州周志根茶场有限公司,2,0,2,浙江省杭州市西湖区梵村花苑159号,2015-04-05,125g/袋,不合格 铅║8.0mg/kg║≤5.0mg/kg,杭州周志根茶场有限公司,,
茶叶（龙井茶）,杭州周志根茶场有限公司,2,0,2,浙江省杭州市西湖区梵村花苑159号,2015-04-05,125g/袋,不合格 铅║8.0mg/kg║≤5.0mg/kg,杭州周志根茶场有限公司,,
铁观音,山东省天园茶叶有限公司,2,0,2,山东省济南市历下区和平路42号,2014-5-7,250克/罐,不合格 三氯杀螨醇║0.31mg/kg║,临沂银座商城有限公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
铁观音,山东省天园茶叶有限公司,2,0,2,山东省济南市历下区和平路42号,2014-5-7,250克/罐,不合格 三氯杀螨醇║0.31mg/kg║,临沂银座商城有限公司,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
青砖茶,湖北省赵李桥茶厂有限责任公司,2,0,2,湖北省赤壁市赵李桥镇,2014-11-18,1700g/盒,不合格 三氯杀螨醇║0.15 mg/kg║不得使用,武汉市硚口区燕艳茶庄,,包括重金属、农药残留、食品添加剂等22个指标
青砖茶,湖北省赵李桥茶厂有限责任公司,2,0,2,湖北省赤壁市赵李桥镇,2014-11-18,1700g/盒,不合格 三氯杀螨醇║0.15 mg/kg║不得使用,武汉市硚口区燕艳茶庄,,包括重金属、农药残留、食品添加剂等22个指标
知福高山绿茶,深圳市乐知福贸易有限公司,2,0,2,深圳市龙岗区坂田街道吉华路上雪科技城北区2号F栋3楼,2014-07-10,150克/袋,不合格 三氯杀螨醇║2.12 mg/kg║不得使用,重庆家乐福商业有限公司金观音广场店,,包括重金属、农药残留、食品添加剂等22个指标
知福高山绿茶,深圳市乐知福贸易有限公司,2,0,2,深圳市龙岗区坂田街道吉华路上雪科技城北区2号F栋3楼,2014-07-10,150克/袋,不合格 三氯杀螨醇║2.12 mg/kg║不得使用,重庆家乐福商业有限公司金观音广场店,,包括重金属、农药残留、食品添加剂等22个指标
廖冲湿王茶,广东豪爽天然保健食品有限公司,2,0,2,广东省连州市城南开发区,2014-6-7,20g/盒,不合格 铅║3.3mg/kg║,湛江市金永安大药房连锁有限公司龙潮分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
廖冲湿王茶,广东豪爽天然保健食品有限公司,2,0,2,广东省连州市城南开发区,2014-6-7,20g/盒,不合格 铅║3.3mg/kg║,湛江市金永安大药房连锁有限公司龙潮分店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
珠茶（绿茶）,嵊州市和发茶厂,2,0,2,浙江省绍兴市嵊州县经济开发区农产品加工园区加佳路78号,2014-11-5,200g/袋,不合格 三氯杀螨醇║0.306mg/kg║,嵊州市和发茶厂,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
珠茶（绿茶）,嵊州市和发茶厂,2,0,2,浙江省绍兴市嵊州县经济开发区农产品加工园区加佳路78号,2014-11-5,200g/袋,不合格 三氯杀螨醇║0.306mg/kg║,嵊州市和发茶厂,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
金砖黑茶（黑砖茶）,宜宾市外贸金叶茶业有限责任公司,2,0,2,四川省高县福溪工业集中区,2014-6-23,168g(7g×24块)/盒,不合格 铅║7.28 mg/kg║5.0mg/kg,广汉百伦商贸有限公司,,包括重金属、农药残留、食品添加剂等22个指标
金砖黑茶（黑砖茶）,宜宾市外贸金叶茶业有限责任公司,2,0,2,四川省高县福溪工业集中区,2014-6-23,168g(7g×24块)/盒,不合格 铅║7.28 mg/kg║5.0mg/kg,广汉百伦商贸有限公司,,包括重金属、农药残留、食品添加剂等22个指标
青砖茶,宜宾市外贸金叶茶业有限责任公司,2,0,2,四川省宜宾市福溪工业集中区,2012-3-22,1500g/包,不合格 铅║10.0 mg/kg║5.0mg/kg,双流县雄兴茶叶商贸部,,包括重金属、农药残留、食品添加剂等22个指标
青砖茶,宜宾市外贸金叶茶业有限责任公司,2,0,2,四川省宜宾市福溪工业集中区,2012-3-22,1500g/包,不合格 铅║10.0 mg/kg║5.0mg/kg,双流县雄兴茶叶商贸部,,包括重金属、农药残留、食品添加剂等22个指标
抹茶,杭州茗乐茶业有限公司,2,0,2,杭州市余杭区瓶窑镇窑北村毛元岭,2014-08-25,200g/袋,不合格 菌落总数（仅限速溶茶类）║15000 CFU/g║；大肠菌群（仅限速溶茶类）║2400 MPN/100g║,杭州茗乐茶业有限公司,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
抹茶,杭州茗乐茶业有限公司,2,0,2,杭州市余杭区瓶窑镇窑北村毛元岭,2014-08-25,200g/袋,不合格 菌落总数（仅限速溶茶类）║15000 CFU/g║；大肠菌群（仅限速溶茶类）║2400 MPN/100g║,杭州茗乐茶业有限公司,,包括重金属、农药残留、食品添加剂、微生物指标等35个指标。
大红袍茶,信阳吞达茶叶有限公司,2,0,2,河南省光山县白雀镇罗山茶厂,2014-3-10,500克/盒(内含6小盒),不合格 柠檬黄║0.66g/kg║,淄博奥德隆超市连锁有限公司周村胜利店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
大红袍茶,信阳吞达茶叶有限公司,2,0,2,河南省光山县白雀镇罗山茶厂,2014-3-10,500克/盒(内含6小盒),不合格 柠檬黄║0.66g/kg║,淄博奥德隆超市连锁有限公司周村胜利店,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
润通茶,汕头市永康保健食品有限公司,2,0,2,广东汕头市濠江区达濠海旁路45号东侧二楼、三楼,2014-3-2,1.6克×25包/盒,不合格 铅║5.4mg/kg║,揭西县棉湖镇万客佳日用百货商行,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
润通茶,汕头市永康保健食品有限公司,2,0,2,广东汕头市濠江区达濠海旁路45号东侧二楼、三楼,2014-3-2,1.6克×25包/盒,不合格 铅║5.4mg/kg║,揭西县棉湖镇万客佳日用百货商行,,包括茶叶及其相关制品中重金属、农药残留、食品添加剂和微生物指标等35个项目。
