food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
日式豆腐,惠州市广源食品有限公司,4,0,4,惠州仲恺高新区潼桥镇金星村河背工业区,2015-10-09,90克/袋,不合格 菌落总数‖17000CFU/g‖5000CFU/g,沃尔玛（广东）商业零售有限公司惠州文明一路分店,,
日式豆腐,惠州市广源食品有限公司,4,0,4,惠州仲恺高新区潼桥镇金星村河背工业区,2015-10-09,90克/袋,不合格 菌落总数‖17000CFU/g‖5000CFU/g,沃尔玛（广东）商业零售有限公司惠州文明一路分店,,
日式豆腐,惠州市广源食品有限公司,4,0,4,惠州市仲恺高新区潼桥镇金星村河背工业区,2015-10-08,90克/袋,不合格 菌落总数‖200000CFU/g‖5000CFU/g,惠州市从乐商业有限公司,,
日式豆腐,惠州市广源食品有限公司,4,0,4,惠州市仲恺高新区潼桥镇金星村河背工业区,2015-10-08,90克/袋,不合格 菌落总数‖200000CFU/g‖5000CFU/g,惠州市从乐商业有限公司,,
美味佳卤香蛋,牡丹江市东安区富利食品加工厂,2,0,2,黑龙江省牡丹江市东安区兴隆镇兴隆村,2014-11-16,90g/袋,不合格 山梨酸║0.56 g/kg║,牡丹江市东安区富利食品加工厂,,包括重金属、农药残留、非食用物质、食品添加剂、微生物指标等24个指标。
美味佳卤香蛋,牡丹江市东安区富利食品加工厂,2,0,2,黑龙江省牡丹江市东安区兴隆镇兴隆村,2014-11-16,90g/袋,不合格 山梨酸║0.56 g/kg║,牡丹江市东安区富利食品加工厂,,包括重金属、农药残留、非食用物质、食品添加剂、微生物指标等24个指标。
乡巴佬（鸡蛋）,三原金辉食品有限公司,2,0,2,陕西省三原县鲁桥镇东里村,2015-06-17,30g/袋,不合格 苯甲酸║5.48mg/kg║不得使用,三原金辉食品有限公司,,
乡巴佬（鸡蛋）,三原金辉食品有限公司,2,0,2,陕西省三原县鲁桥镇东里村,2015-06-17,30g/袋,不合格 苯甲酸║5.48mg/kg║不得使用,三原金辉食品有限公司,,
鸡蛋,魏桥育才超市,2,0,2,魏桥镇,2016-03-27,散装,不合格 恩诺沙星（恩诺沙星与环丙沙星之和）║21.0μg/kg║不得检出,邹平县魏桥镇印家小学食堂,,
鸡蛋,魏桥育才超市,2,0,2,魏桥镇,2016-03-27,散装,不合格 恩诺沙星（恩诺沙星与环丙沙星之和）║21.0μg/kg║不得检出,邹平县魏桥镇印家小学食堂,,
鲜鸡蛋,李红酱菜批发部,2,0,2,/,2016-04-22,散装,不合格 氟苯尼考║18.4μg/kg║不得检出,昌乐县首阳阁大酒店,,
鲜鸡蛋,李红酱菜批发部,2,0,2,/,2016-04-22,散装,不合格 氟苯尼考║18.4μg/kg║不得检出,昌乐县首阳阁大酒店,,
鸡蛋,供应商：胡天财,2,0,2,天津市西青区金三角批发市场,购进日期：2015-10-13,计量销售,不合格 恩诺沙星 ║18.3μg/kg ║不得检出 ║；环丙沙星 ║2.40μg/kg ║不得检出 ║,天津市西青区卢大军食品批发商行,,
鸡蛋,供应商：胡天财,2,0,2,天津市西青区金三角批发市场,购进日期：2015-10-13,计量销售,不合格 恩诺沙星 ║18.3μg/kg ║不得检出 ║；环丙沙星 ║2.40μg/kg ║不得检出 ║,天津市西青区卢大军食品批发商行,,
鲜鸭蛋,魏,2,0,2,/,2016-05-13,散装,不合格 氟苯尼考‖              46μg/kg‖                       不得检出,孙洪叶,,
鲜鸭蛋,魏,2,0,2,/,2016-05-13,散装,不合格 氟苯尼考‖              46μg/kg‖                       不得检出,孙洪叶,,
松花皮蛋,长乐市吉百年食品有限公司,2,0,2,福建福州长乐市文武砂镇三站,2014-7-10,336克（6枚）/盒,不合格 菌落总数║2800 CFU/g║,武夷山市华榕丰和园超市,,包括重金属、微生物指标等20个指标。
松花皮蛋,长乐市吉百年食品有限公司,2,0,2,福建福州长乐市文武砂镇三站,2014-7-10,336克（6枚）/盒,不合格 菌落总数║2800 CFU/g║,武夷山市华榕丰和园超市,,包括重金属、微生物指标等20个指标。
楚麒麟皮蛋,东莞市黄江福之康蛋品有限公司(生产厂家) 深圳市智明贸易有限公司(委托商),2,0,2,广东省东莞市黄江镇星光村四队(文化室旁)(生产厂家地址),2014-10-24,500克(8枚)/盒,不合格 菌落总数║240000 CFU/g║,深圳市宝安区光明惠丰百货商场,,包括重金属、微生物指标等20个指标。
楚麒麟皮蛋,东莞市黄江福之康蛋品有限公司(生产厂家) 深圳市智明贸易有限公司(委托商),2,0,2,广东省东莞市黄江镇星光村四队(文化室旁)(生产厂家地址),2014-10-24,500克(8枚)/盒,不合格 菌落总数║240000 CFU/g║,深圳市宝安区光明惠丰百货商场,,包括重金属、微生物指标等20个指标。
皮蛋,宁波市鄞州下应老宝大禽蛋加工厂,2,0,2,浙江省宁波市鄞州区下应街道河西村,2014-11-12,散装,不合格 菌落总数║＞300000 CFU/g║；沙门氏菌║未检出║,宁波市鄞州下应老宝大禽蛋加工厂,,包括重金属、微生物指标等20个指标。
皮蛋,宁波市鄞州下应老宝大禽蛋加工厂,2,0,2,浙江省宁波市鄞州区下应街道河西村,2014-11-12,散装,不合格 菌落总数║＞300000 CFU/g║；沙门氏菌║未检出║,宁波市鄞州下应老宝大禽蛋加工厂,,包括重金属、微生物指标等20个指标。
皮蛋,绍兴县福全绍鸭繁殖场,2,0,2,浙江省衢州市柯城区曙光路2号,2014-10-25,-,不合格 菌落总数║870 CFU/g║,绍兴县福全绍鸭繁殖场,,包括重金属、微生物指标等20个指标。
皮蛋,绍兴县福全绍鸭繁殖场,2,0,2,浙江省衢州市柯城区曙光路2号,2014-10-25,-,不合格 菌落总数║870 CFU/g║,绍兴县福全绍鸭繁殖场,,包括重金属、微生物指标等20个指标。
