food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
芋子内脂豆腐,长春市鑫泽食品有限公司,4,0,4,长春市二道区英俊镇胡家村杨木林子屯,2015-12-02,350g/盒,不合格 苯甲酸║1897.05mg/kg║不得检出,北京华联综合股份有限公司长春分公司,,
芋子内脂豆腐,长春市鑫泽食品有限公司,4,0,4,长春市二道区英俊镇胡家村杨木林子屯,2015-12-02,350g/盒,不合格 苯甲酸║1897.05mg/kg║不得检出,北京华联综合股份有限公司长春分公司,,
芋子内脂豆腐,长春市鑫泽食品有限公司,4,0,4,长春市二道区英俊镇胡家村杨木林子屯（河套沟）,2015-10-22,350g/盒,不合格 苯甲酸║1642.2mg/kg║不得检出,宽城区农贸水产大市场农贸大厅刘伟五棵树豆制品批发部,,
芋子内脂豆腐,长春市鑫泽食品有限公司,4,0,4,长春市二道区英俊镇胡家村杨木林子屯（河套沟）,2015-10-22,350g/盒,不合格 苯甲酸║1642.2mg/kg║不得检出,宽城区农贸水产大市场农贸大厅刘伟五棵树豆制品批发部,,
巴旦木,新疆若兰果品有限公司,3,0,3,库尔勒市铁门关西路31分部仓库用地北侧,2014-05-18,散装 烘炒类 带壳熟制,不合格 二氧化硫║0.1 g/kg║,新疆若兰果品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标等20个指标。
巴旦木,新疆若兰果品有限公司,3,0,3,库尔勒市铁门关西路31分部仓库用地北侧,2014-05-18,散装 烘炒类 带壳熟制,不合格 二氧化硫║0.1 g/kg║,新疆若兰果品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标等20个指标。
巴旦木,新疆若兰果品有限公司,3,0,3,库尔勒市铁门关西路31分部仓库用地北侧,2014-05-18,散装 烘炒类 带壳熟制,不合格 二氧化硫║0.1 g/kg║,新疆若兰果品有限公司,,包括重金属、农药残留、生物毒素、食品添加剂、微生物指标等20个指标。
内酯豆腐,舟山市戎万兴豆制品有限公司,3,0,3,浙江省舟山市岱山县高亭镇塘墩村万里塘路595号,2016-06-07,350g/盒,不合格 山梨酸║0.014g/kg║不得添加,浙江三江购物有限公司岱山分公司,,
内酯豆腐,舟山市戎万兴豆制品有限公司,3,0,3,浙江省舟山市岱山县高亭镇塘墩村五里塘路595号,2015-10-29,350g/盒,不合格 山梨酸║0.202g/kg║不得检出,舟山市戎万兴豆制品有限公司,,
内酯豆腐,舟山市戎万兴豆制品有限公司,3,0,3,浙江省舟山市岱山县高亭镇塘墩村五里塘路595号,2015-10-29,350g/盒,不合格 山梨酸║0.202g/kg║不得检出,舟山市戎万兴豆制品有限公司,,
特好原味瓜子,山东快乐老王食品有限公司,3,0,3,博兴县锦秋街道西隅社区,2014-10-18,散装,不合格 过氧化值║1.6 g/100g║,山东快乐老王食品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标等20个指标。
特好原味瓜子,山东快乐老王食品有限公司,3,0,3,博兴县锦秋街道西隅社区,2014-10-18,散装,不合格 过氧化值║1.6 g/100g║,山东快乐老王食品有限公司,,包括重金属、生物毒素、食品添加剂、微生物指标等20个指标。
特好原味瓜子,山东快乐老王食品有限公司,3,0,3,博兴县锦秋街道西隅社区,2014-10-18,散装,不合格 过氧化值║1.6 g/100g║,山东快乐老王食品有限公司,,包括重金属、农药残留、生物毒素、食品添加剂、微生物指标等20个指标。
