food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
蒸馏酒,/,9,0,9,/,/,散装,不合格 甜蜜素║0.0014g/kg║不得使用,徐艳（富顺纯高粮酒）,,
蒸馏酒,/,9,0,9,/,/,散装,不合格 甜蜜素║0.0016g/kg║不得使用,陈天福（浓坊酒坊）,,
蒸馏酒,/,9,0,9,/,2015-09-26,散装,不合格 糖精钠║0.013g/kg║不得检出；甜蜜素║0.095g/kg║不得检出,泸州市江阳区陈强高粱酒经营部,,
蒸馏酒,/,9,0,9,/,2015-08-27,散装,不合格 糖精钠║0.012g/kg║不得检出；甜蜜素║0.073g/kg║不得检出,泸州市江阳区陈波酒坊,,
蒸馏酒,/,9,0,9,/,2015-03-25,散装,不合格 甜蜜素║0.00057g/kg║不得使用；糖精钠║0.00055g/kg║不得使用,泸县牛滩镇湘记高粱酒经营部,,
蒸馏酒,/,9,0,9,/,2015-03-15,散装,不合格 甜蜜素║0.0023g/kg║不得检出；糖精钠║0.018g/kg║不得检出,泸州市江阳区东风白酒厂,,
蒸馏酒,/,9,0,9,/,2015-02-20,散装,不合格 甜蜜素║0.00023g/kg║不得使用,泸县天兴胡喆高粱小灶酒经营部,,
蒸馏酒,/,9,0,9,/,2015-02-15,散装,不合格 甜蜜素║0.034g/kg║不得使用；糖精钠║0.032g/kg║不得使用,泸县云龙镇石龙白酒经营部,,
蒸馏酒,/,9,0,9,/,2014-12-26,散装,不合格 甜蜜素║0.00012g/kg║不得使用；糖精钠║0.00086g/kg║不得使用,泸州市纳溪区安富街道许开珍副食店,,
白酒（散装）,/,8,0,8,/,2014-10-15（购进日期）,/,不合格 甜蜜素║0.04g/kg║不得使用,青川县青溪镇百草源农家乐,,
白酒（散装）,/,8,0,8,/,2015-4-12（购进日期）,/,不合格 甜蜜素║0.0036g/kg║不得使用,青川县青溪镇阿莲土菜馆,,
