food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
花甲,/,4,0,4,/,2016-07-12,散装称重,不合格 氯霉素‖227μg/kg‖不得检出,茂名市河东市场,,
花甲,/,4,0,4,/,2016-07-12,散装称重,不合格 氯霉素‖58.2μg/kg‖不得检出,汕尾市信利广场贸易有限公司,,
花甲,/,4,0,4,/,2016-07-11,散装称重,不合格 氯霉素‖272μg/kg‖不得检出,汕尾市城区奎山综合市场,,
花甲,/,4,0,4,/,2016-07-11,散装称重,不合格 氯霉素‖496μg/kg‖不得检出,汕尾市城区奎山综合市场,,
濑尿虾,/,2,0,2,/,2016-01-30,/,不合格 镉║1.1mg/kg║≤0.5mg/kg,林志钦摊位,,
濑尿虾,/,2,0,2,/,2016-01-27,/,不合格 镉║1.6mg/kg║≤0.5mg/kg,庞全峰摊位,,
牛上脑肉,___,2,0,2,___,2016-05-31,/,不合格 水分（g/100g）║78.6║≤77；克伦特罗（μg/kg）║2.66║不得检出,朝内南小街菜市场牛羊肉3号（何立军）,,
牛上脑肉,___,2,0,2,___,2016-05-31,/,不合格 水分（g/100g）║78.0║≤77；克伦特罗（μg/kg）║4.56║不得检出,朝内南小街菜市场牛羊肉4号（尹照光）,,
海水蟹（梭子蟹）,/,2,0,2,/,2016-08-08（购进）,/,不合格 镉‖1.6mg/kg‖≤0.5mg/kg,太原市杏花岭区闽融水产品经销部,,
海水蟹（梭子蟹）,/,2,0,2,/,2016-08-09(购进）,/,不合格 镉‖0.8mg/kg‖≤0.5mg/kg,太原市杏花岭区国林水产品店,,
石头蟹,/,2,0,2,/,/,散装称重,不合格 镉║1.4mg/kg║≤0.5mg/kg,河南万邦国际农产品物流园万邦鱼得水双赢海鲜直销公司赵俊辉,,
石头蟹,/,2,0,2,/,/,散装称重,不合格 镉║1.2mg/kg║≤0.5mg/kg,河南万邦国际农产品物流园万邦鱼得水双赢海鲜直销公司赵俊辉,,
鸡腿（乌鸡）,/,2,0,2,/,2016-08-16,/,不合格 恩诺沙星║4116μg/kg║100μg/kg,吴忠市利通区马刚活鸡经销店,,
鸡腿（乌鸡）,/,2,0,2,/,2016-08-16,/,不合格 恩诺沙星║643.2μg/kg║100μg/kg,吴忠市利通区世祥活禽经销部,,
鸡翅根,黑河市双福农贸市场15号摊床（小杜鲜鸡）（供应商）,1,0,1,黑龙江省黑河市,2016-3-9（购进日期）,/,不合格 替米考星‖144μg/kg‖≤75μg/kg,黑河市中龙购物广场,,
鲜鱿鱼,北京霸力德安商贸有限公司,1,0,1,/,2016-07-13,散装,不合格 镉（mg/kg）║5║≤2.0,乐购特易购商业（北京）有限公司黄村东分公司,,
