food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
核桃油Walnutoil,疏附县希域农林科技有限公司,4,0,4,新疆喀什疏附县广州新城,2016-10-01,250ml/瓶║包装未标示,不合格 酸值(KOH)║3.5mg/g║≤3.0mg/g,疏附县希域农林科技有限公司,,
核桃油Walnutoil,疏附县希域农林科技有限公司,4,0,4,新疆喀什疏附县广州新城,2016-09-11,250ml/瓶║包装未标示,不合格 酸值(KOH)║3.6mg/g║≤3.0mg/g,疏附县希域农林科技有限公司,,
核桃油Walnutoil,疏附县希域农林科技有限公司,4,0,4,新疆喀什疏附县广州新城,2016-08-03,250ml/瓶║包装未标示,不合格 酸值(KOH)║3.6mg/g║≤3.0mg/g,疏附县希域农林科技有限公司,,
核桃油Walnutoil,疏附县希域农林科技有限公司,4,0,4,新疆喀什疏附县广州新城,2016-07-27,250ml/瓶║包装未标示,不合格 酸值(KOH)║3.7mg/g║≤3.0mg/g,疏附县希域农林科技有限公司,,
调和油,新疆阿克布拉克国际商贸有限公司,4,0,4,墨玉县加汗巴格乡喀亚什村1组,2016-10-13,2.8L/桶║调和油,不合格 酸价║2.1mgKOH/g║≤1.0mgKOH/g,新疆阿克布拉克国际商贸有限公司,,
调和油,新疆阿克布拉克国际商贸有限公司,4,0,4,墨玉县加汗巴格乡喀亚什村1组,2016-10-11,2.8L/桶║调和油,不合格 酸价║3.9mgKOH/g║≤1.0mgKOH/g,新疆阿克布拉克国际商贸有限公司,,
调和油,新疆阿克布拉克国际商贸有限公司,4,0,4,墨玉县加汗巴格乡喀亚什村1组,2016-09-02,2.8L/桶║调和油,不合格 酸价║1.9mgKOH/g║≤1.0mgKOH/g,新疆阿克布拉克国际商贸有限公司,,
调和油,新疆阿克布拉克国际商贸有限公司,4,0,4,墨玉县加汗巴格乡喀亚什村1组,2016-08-01,2.8L/桶║调和油,不合格 酸价║1.9mgKOH/g║≤1.0mgKOH/g；苯并（α）芘║16.1μg/kg║≤10μg/kg,新疆阿克布拉克国际商贸有限公司,,
100%纯葵花籽油,新疆汇祥农业发展有限公司,3,0,3,阿勒泰市北屯西北路额河草原左侧,2016-06-03,5升/桶║压榨一级,不合格 酸值(KOH)║0.51mg/g║≤0.20mg/g,阿勒泰市曹家粮油门市部,,
100%纯葵花籽油,新疆汇祥农业发展有限公司,3,0,3,阿勒泰市北屯西北路额河草原左侧,2015-10-12,5升/桶║压榨一级,不合格 酸值(KOH)║0.40mg/g║≤0.20mg/g，苯并（α）芘║58μg/kg║≤10μg/kg,阿勒泰市金福粮油百货店,,
100%纯葵花籽油,新疆汇祥农业发展有限公司,3,0,3,阿勒泰市北屯西北路额河草原左侧,2015-09-13,5升/桶║压榨一级,不合格 酸值(KOH)║0.47mg/g║≤0.20mg/g，苯并（α）芘║58μg/kg║≤10μg/kg,阿勒泰市金福粮油百货店,,
食用调和油（压榨法）,墨玉县瑷黎呢迈提粮油加工厂,3,0,3,新疆和田墨玉县斯孜路99号,2016-10-05,4.8升/桶║调和油,不合格 酸价║2.1mgKOH/g║≤1.0mgKOH/g,墨玉县瑷黎呢迈提粮油加工厂,,
食用调和油（压榨法）,墨玉县瑷黎呢迈提粮油加工厂,3,0,3,新疆和田墨玉县斯孜路99号,2016-09-05,4.8升/桶║调和油,不合格 酸价║2.1mgKOH/g║≤1.0mgKOH/g,墨玉县瑷黎呢迈提粮油加工厂,,
食用调和油（压榨法）,墨玉县瑷黎呢迈提粮油加工厂,3,0,3,新疆和田墨玉县斯孜路99号,2016-08-05,4.8升/桶║调和油,不合格 酸价║2.2mgKOH/g║≤1.0mgKOH/g,墨玉县瑷黎呢迈提粮油加工厂,,
山茶油,泰和县泰良油脂有限公司,3,0,3,江西省吉安市泰和县文田工业区易家山,2016-6-2,500mL/瓶,不合格 过氧化值║    7.8mmol/kg║  ≤6.0mmol/kg,泰和县泰良油脂有限公司,,
山茶油,泰和县泰良油脂有限公司,3,0,3,江西省吉安市泰和县文田工业区易家山,2016-5-2,500mL/瓶,不合格 过氧化值║    8.5mmol/kg║  ≤6.0mmol/kg,泰和县泰良油脂有限公司,,
山茶油,泰和县泰良油脂有限公司,3,0,3,江西省吉安市泰和县文田工业区易家山,2016-4-2,500mL/瓶,不合格 过氧化值║    8.2mmol/kg║  ≤6.0mmol/kg,泰和县泰良油脂有限公司,,
棉籽油,嘉祥县亚星油脂有限公司,2,0,2,嘉祥县万张镇楚庄村南200米,2016-04-20,散装,不合格 苯并[a]芘‖19μg/kg‖≤10μg/kg,嘉祥县亚星油脂有限公司,,
棉籽油,嘉祥县亚星油脂有限公司,2,0,2,嘉祥县万张镇楚庄村南200米,2014-11-21,散装,不合格 苯并[a]芘║24μg/kg║,嘉祥县亚星油脂有限公司,,包括重金属、真菌毒素、食品添加剂等13个指标。
