food_name,production_name,check_num,qualified_num,unqualified_num,production_address,food_product_time,food_model,check_flag,sampling_name,sampling_province,check_projiect
甜馒头,/,6,0,6,/,2015年12月2日,/,不合格 糖精钠║0.062g/kg║不得使用,袁方明,,
甜馒头,/,6,0,6,/,/,/,不合格 甜蜜素║0.3g/kg║不得使用；铝的残留量（干样品，以Al计）║150mg/kg║不得检出,三台县芦溪镇文老三快餐店,,
甜馒头,/,6,0,6,/,/,/,不合格 甜蜜素║0.2g/kg║不得使用,三台县芦溪镇赵师饭店,,
甜馒头,/,6,0,6,/,2016-9-8,/,不合格 糖精钠║  0.06g/kg ║不得检出,江西青龙集团商厦有限公司,,
甜馒头,/,6,0,6,/,2016-9-6,/,不合格 糖精钠 ║0.06g/kg║ 不得检出,宜春市比一比贸易有限责任公司,,
甜馒头,/,6,0,6,/,2015-08-18,/,不合格 甜蜜素║1213mg/kg║不得使用,童泽琼,,
油条,/,4,0,4,/,2016-08-30,计量称重,不合格 铝的残留量（干样品，以Al计）|254mg/kg|≤100；,固始县食客餐饮店,,
油条,/,4,0,4,/,2016-08-27,计量称重,不合格 铝的残留量（干样品，以Al计）|262mg/kg|≤100；,汝州市程老大逍遥镇胡辣汤店,,
油条,/,4,0,4,/,2016-08-27,计量称重,不合格 铝的残留量（干样品，以Al计）|234mg/kg|≤100；,汝州市胡老四胡辣汤店,,
油条,/,4,0,4,/,2016-08-26,计量称重,不合格 铝的残留量（干样品，以Al计）|680mg/kg|≤100；,汝州市品品早餐店,,
熟畜肉,/,3,0,3,/,2015-09-25,散装,不合格 沙丁胺醇║6.25（μg/kg）║不得检出,菏泽开发区鲁景之乡饭店,,
熟畜肉,/,3,0,3,/,2015-9-19,散装,不合格 山梨酸║0.126(g/kg)║≤0.075(g/kg),青岛丰联酒店有限公司,,
熟畜肉,/,3,0,3,/,2015-9-18,散装,不合格 日落黄║0.047(g/kg)║不得检出；胭脂红║0.008(g/kg)║不得检出,聊城御洞财富大酒店有限公司,,
油馍头,/,3,0,3,/,2016-08-26,计量称重,不合格 铝的残留量（干样品，以Al计）|134mg/kg|≤100；,汝州市李海军胡辣汤店,,
油馍头,/,3,0,3,/,2016-08-26,计量称重,不合格 铝的残留量（干样品，以Al计）|247mg/kg|≤100；,汝州市冠华高汤豆腐菜店,,
油馍头,/,3,0,3,/,2016-08-23,计量称重,不合格 铝的残留量（干样品，以Al计）|414mg/kg|≤100；,平顶山宾馆有限公司,,
油炸麻花,/,3,0,3,/,2017-01-06,散装,不合格 酸价（以脂肪计）（KOH）|5.3mg/g|≤3；过氧化值（以脂肪计）|0.42g/100g|≤0.25；,义马市朝阳大张快乐购,,
油炸麻花,/,3,0,3,/,2016-11-02,散装,不合格 铝的残留量（干样品，以Al计）|422mg/kg|≤100；,卫辉市建业购物广场有限公司,,
油炸麻花,/,3,0,3,/,2016-11-01,散装,不合格 铝的残留量（干样品，以Al计）|518mg/kg|≤100；,卫辉市建设路今东方新玉商贸经销部,,
消毒小勺,/,2,0,2,/,2015-09-29,散装,不合格 大肠菌群║23(MPN/100cm2)║＜3(MPN/100cm2),龙口市第二实验小学食堂,,
消毒小勺,/,2,0,2,/,2015-09-29,散装,不合格 大肠菌群║23(MPN/100cm2)║＜3(MPN/100cm2),龙口市实验小学食堂,,
肉冻,/,2,0,2,/,2016-12-14,散装称重,不合格 铬（以Cr计）║4.6mg/kg║≤1.0mg/kg,兰考县考城镇杨记烩面城,,
肉冻,/,2,0,2,/,2016-12-14,散装称重,不合格 铬（以Cr计）║4mg/kg║≤1.0mg/kg,兰考县红庙镇乡村饭店,,
油炸麻花,/,2,0,2,/,2016-08-30,计量称重,不合格 铝的残留量（干样品，以Al计）|245mg/kg|≤100；,固始县乐卖特购物广场,,
油炸麻花,/,2,0,2,/,2016-08-30,计量称重,不合格 铝的残留量（干样品，以Al计）|369mg/kg|≤100；,信阳国源实业有限公司,,
